 Secant Method
  1 10.00000
  2 -9.90738
  3 -9.81686
  4 -4.82956
  5 -3.10123
  6 -1.64595
  7 -0.71451
  8  0.03994
  9  0.72366
 10  1.35613
 11  1.30333
 12  1.31861
 13  1.31908
 14  1.31907
 Bisection Method
  1 0.00000
  2 5.00000
  3 2.50000
  4 1.25000
  5 1.87500
  6 1.56250
  7 1.40625
  8 1.32812
  9 1.28906
 10 1.30859
 11 1.31836
 12 1.32324
 13 1.32080
 14 1.31958
 15 1.31897
 16 1.31927
 17 1.31912
 18 1.31905
 19 1.31908
 20 1.31907
 21 1.31907
 22 1.31907
 23 1.31907
 24 1.31907
